"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID"
"4","siteid",47,6542,0.00718434729440538,0.6257110610447,0,"Analysis_kri0001"
"151","siteid",17,2480,0.00685483870967742,0.326772912870035,0,"Analysis_kri0001"
"46","siteid",5,738,0.00677506775067751,0.170534885401577,0,"Analysis_kri0001"
"138","siteid",33,4913,0.00671687360065133,0.425469415031964,0,"Analysis_kri0001"
"62","siteid",164,24458,0.00670537247526372,0.942894307098528,0,"Analysis_kri0001"
"135","siteid",26,3890,0.00668380462724936,0.371240327765179,0,"Analysis_kri0001"
"107","siteid",14,2108,0.00664136622390892,0.266341079144785,0,"Analysis_kri0001"
"190","siteid",34,5197,0.00654223590533,0.39272778598496,0,"Analysis_kri0001"
"136","siteid",12,1843,0.00651112316874661,0.229111858004664,0,"Analysis_kri0001"
"181","siteid",14,2183,0.00641319285387082,0.233045326169982,0,"Analysis_kri0001"
"170","siteid",138,21878,0.0063077063716976,0.682159883327757,0,"Analysis_kri0001"
"163","siteid",15,2387,0.00628403854210306,0.221203708821754,0,"Analysis_kri0001"
"124","siteid",17,2751,0.00617957106506725,0.217944694958167,0,"Analysis_kri0001"
"129","siteid",9,1493,0.00602813127930342,0.139704324537571,0,"Analysis_kri0001"
"94","siteid",157,26227,0.00598619743012926,0.561335297638446,0,"Analysis_kri0001"
"89","siteid",18,3089,0.00582712852055681,0.161138255910175,0,"Analysis_kri0001"
"7","siteid",39,6717,0.00580616346583296,0.231493588706288,0,"Analysis_kri0001"
"166","siteid",79,13964,0.0056574047550845,0.271131038664695,0,"Analysis_kri0001"
"98","siteid",8,1420,0.00563380281690141,0.0832911063754138,0,"Analysis_kri0001"
"122","siteid",39,6948,0.00561312607944732,0.17809808954344,0,"Analysis_kri0001"
"70","siteid",12,2146,0.00559179869524697,0.0954583345393013,0,"Analysis_kri0001"
"5","siteid",170,30574,0.00556027997645058,0.340668653620037,0,"Analysis_kri0001"
"164","siteid",28,5193,0.00539187367610245,0.0971507683764433,0,"Analysis_kri0001"
"68","siteid",15,2852,0.00525946704067321,0.0467972315484825,0,"Analysis_kri0001"
"160","siteid",28,5332,0.00525131282820705,0.0618648780489599,0,"Analysis_kri0001"
"189","siteid",121,23310,0.00519090519090519,0.0964835516930837,0,"Analysis_kri0001"
"180","siteid",4,780,0.00512820512820513,0.01140887093254,0,"Analysis_kri0001"
"139","siteid",222,43621,0.00508929185484056,0.0563550424758347,0,"Analysis_kri0001"
"174","siteid",20,3930,0.00508905852417303,0.0168632319002076,0,"Analysis_kri0001"
"48","siteid",3,595,0.00504201680672269,0.00247222276031157,0,"Analysis_kri0001"
"66","siteid",4,796,0.0050251256281407,0.00116114411338387,0,"Analysis_kri0001"
"52","siteid",6,1205,0.00497925311203319,-0.00424616221379489,0,"Analysis_kri0001"
"115","siteid",6,1212,0.00495049504950495,-0.00782640210300462,0,"Analysis_kri0001"
"118","siteid",65,13315,0.00488171235448742,-0.0542255746502459,0,"Analysis_kri0001"
"44","siteid",17,3498,0.00485991995425958,-0.0323867611986606,0,"Analysis_kri0001"
"27","siteid",15,3167,0.00473634354278497,-0.0555999786396306,0,"Analysis_kri0001"
"185","siteid",8,1695,0.00471976401179941,-0.0431082884965045,0,"Analysis_kri0001"
"76","siteid",45,9840,0.00457317073170732,-0.155688275357959,0,"Analysis_kri0001"
"49","siteid",13,2884,0.00450762829403606,-0.0968297845681181,0,"Analysis_kri0001"
"121","siteid",21,4670,0.00449678800856531,-0.125856757763758,0,"Analysis_kri0001"
"186","siteid",15,3396,0.00441696113074205,-0.123903470385967,0,"Analysis_kri0001"
"97","siteid",16,3717,0.00430454667742803,-0.154051489303933,0,"Analysis_kri0001"
"188","siteid",9,2117,0.00425129900803023,-0.124990963527521,0,"Analysis_kri0001"
"57","siteid",6,1413,0.00424628450106157,-0.102786679998574,0,"Analysis_kri0001"
"100","siteid",6,1425,0.00421052631578947,-0.10803268998929,0,"Analysis_kri0001"
"71","siteid",33,7865,0.0041958041958042,-0.258456124015955,0,"Analysis_kri0001"
"58","siteid",61,15069,0.00404804565664609,-0.422389759976646,0,"Analysis_kri0001"
"178","siteid",6,1511,0.00397088021178028,-0.144442518149213,0,"Analysis_kri0001"
"69","siteid",33,8390,0.00393325387365912,-0.352646383611297,0,"Analysis_kri0001"
"14","siteid",3,770,0.0038961038961039,-0.110506346483258,0,"Analysis_kri0001"
"137","siteid",23,5984,0.00384358288770053,-0.322540492825935,0,"Analysis_kri0001"
"11","siteid",26,6784,0.00383254716981132,-0.346663855387785,0,"Analysis_kri0001"
"17","siteid",37,9809,0.00377204608013049,-0.438202328114867,0,"Analysis_kri0001"
"104","siteid",25,6804,0.00367430922986479,-0.393689960164506,0,"Analysis_kri0001"
"84","siteid",8,2214,0.003613369467028,-0.234793454476839,0,"Analysis_kri0001"
"142","siteid",10,2831,0.00353232073472271,-0.280869706220338,0,"Analysis_kri0001"
"102","siteid",8,2455,0.00325865580448065,-0.309876131681862,0,"Analysis_kri0001"
"61","siteid",44,13925,0.00315978456014363,-0.77958498331974,0,"Analysis_kri0001"
"53","siteid",7,2217,0.0031574199368516,-0.311460032927143,0,"Analysis_kri0001"
"147","siteid",12,3883,0.00309039402523822,-0.427079824987206,0,"Analysis_kri0001"
"131","siteid",16,5187,0.00308463466358203,-0.495087685509712,0,"Analysis_kri0001"
"103","siteid",10,3256,0.00307125307125307,-0.394974095714229,0,"Analysis_kri0001"
"35","siteid",12,3919,0.00306200561367696,-0.435388374227077,0,"Analysis_kri0001"
"101","siteid",7,2358,0.00296861747243427,-0.353884361120688,0,"Analysis_kri0001"
"109","siteid",10,3422,0.00292226767971946,-0.435976447255628,0,"Analysis_kri0001"
"148","siteid",4,1411,0.00283486888731396,-0.291653577964731,0,"Analysis_kri0001"
"72","siteid",2,716,0.00279329608938547,-0.211723559539903,0,"Analysis_kri0001"
"50","siteid",18,6531,0.00275608635737253,-0.650160455348667,0,"Analysis_kri0001"
"19","siteid",6,2209,0.00271616115889543,-0.384806340130957,0,"Analysis_kri0001"
"167","siteid",28,10875,0.00257471264367816,-0.906373141243616,0,"Analysis_kri0001"
"51","siteid",20,7823,0.00255656397801355,-0.774459784936925,0,"Analysis_kri0001"
"13","siteid",13,5129,0.00253460713589394,-0.632692001965404,0,"Analysis_kri0001"
"126","siteid",2,792,0.00252525252525253,-0.249559639502049,0,"Analysis_kri0001"
"45","siteid",2,797,0.00250941028858218,-0.251940012267567,0,"Analysis_kri0001"
"38","siteid",2,798,0.0025062656641604,-0.252414591721488,0,"Analysis_kri0001"
"110","siteid",2,804,0.00248756218905473,-0.255251712351487,0,"Analysis_kri0001"
"26","siteid",12,4901,0.0024484799020608,-0.63995716733253,0,"Analysis_kri0001"
"184","siteid",9,3683,0.00244366005973391,-0.555807871846673,0,"Analysis_kri0001"
"106","siteid",7,2881,0.00242971190558834,-0.494249468360649,0,"Analysis_kri0001"
"149","siteid",18,7453,0.00241513484502885,-0.79943537221722,0,"Analysis_kri0001"
"9","siteid",4,1691,0.00236546422235364,-0.388072641448993,0,"Analysis_kri0001"
"63","siteid",18,7931,0.00226957508510907,-0.870869599222468,0,"Analysis_kri0001"
"36","siteid",2,883,0.00226500566251416,-0.291066423997097,0,"Analysis_kri0001"
"153","siteid",6,2758,0.00217548948513416,-0.531162808450513,0,"Analysis_kri0001"
"34","siteid",14,6842,0.00204618532592809,-0.874724220837503,0,"Analysis_kri0001"
"41","siteid",3,1507,0.0019907100199071,-0.418196511647822,0,"Analysis_kri0001"
"96","siteid",6,3019,0.00198741305067903,-0.592555116904761,0,"Analysis_kri0001"
"23","siteid",8,4161,0.00192261475606825,-0.710554346946576,0,"Analysis_kri0001"
"30","siteid",11,5725,0.00192139737991266,-0.833790997238498,0,"Analysis_kri0001"
"67","siteid",12,6847,0.00175259237622316,-0.961620374521491,0,"Analysis_kri0001"
"29","siteid",8,4702,0.00170140365801786,-0.809392379253722,0,"Analysis_kri0001"
"177","siteid",6,3792,0.00158227848101266,-0.753004215819714,0,"Analysis_kri0001"
"113","siteid",9,6174,0.00145772594752187,-0.995707121720884,0,"Analysis_kri0001"
"152","siteid",8,5572,0.00143575017946877,-0.951764734583779,0,"Analysis_kri0001"
"123","siteid",1,705,0.00141843971631206,-0.340184700062213,0,"Analysis_kri0001"
"117","siteid",1,706,0.00141643059490085,-0.340616125313601,0,"Analysis_kri0001"
"6","siteid",1,709,0.00141043723554302,-0.341907766353683,0,"Analysis_kri0001"
"114","siteid",7,4976,0.00140675241157556,-0.906713218539042,0,"Analysis_kri0001"
"73","siteid",4,2844,0.00140646976090014,-0.685533353796321,0,"Analysis_kri0001"
"33","siteid",1,713,0.00140252454417952,-0.343623851864199,0,"Analysis_kri0001"
"3","siteid",2,1441,0.00138792505204719,-0.490481736493932,0,"Analysis_kri0001"
"16","siteid",2,1497,0.00133600534402138,-0.507080351832097,0,"Analysis_kri0001"
"161","siteid",3,2298,0.00130548302872063,-0.633476462599193,0,"Analysis_kri0001"
"168","siteid",1,822,0.00121654501216545,-0.387958171117125,0,"Analysis_kri0001"
"187","siteid",4,3910,0.0010230179028133,-0.889256121302479,0,"Analysis_kri0001"
"32","siteid",2,2110,0.000947867298578199,-0.665552518717688,0,"Analysis_kri0001"
"127","siteid",0,2914,0,-0.964488819774668,0,"Analysis_kri0001"
"144","siteid",0,2888,0,-0.960176380406307,0,"Analysis_kri0001"
"81","siteid",0,2292,0,-0.855381258642557,0,"Analysis_kri0001"
"18","siteid",0,1430,0,-0.675647917860774,0,"Analysis_kri0001"
"158","siteid",0,744,0,-0.48734766745225,0,"Analysis_kri0001"
"175","siteid",0,723,0,-0.480420546207102,0,"Analysis_kri0001"
"99","siteid",0,703,0,-0.473729125461063,0,"Analysis_kri0001"
